task_name,measurement,processed_task_name,cluster,general_name,work_name_corr
АРК сварных соединений трубопроводов Д мм 1220-1420,стык,арк сварных соединений трубопроводов д мм,17,арк соединений сварных трубопроводов мм, ак сварных соединение трубопроводов я мы 1220-1420
Прокладка кабеля электрической сети в траншее (массой 1 м до 3 кг),м,прокладка кабеля электрической сети траншее массой м кг,59,траншее сети кг кабеля прокладка, Прокладка кабель электрический сети я траншее (массой 1 я до 3 кг)
Монтаж оборудования внутренних ИС,шт,монтаж оборудования внутренних ис,190,оборудования ис внутренних досборка монтаж, Монтаж оборудование внутренних и
Термическая обработка сварных соединений Д мм 720-1020,стык,термическая обработка сварных соединений д мм,11,термическая обработка соединений сварных мм, Термическая обработка сварных соединение я мы 720-1020
Устройство ледовой переправы,км,устройство ледовой переправы,149,переправы ледовой содержание ремонт устройство, Устройство ледовой переправы
Монтаж системы топливного газа,компл,монтаж системы топливного газа,81,топливного газа системы установка монтаж, Монтаж системы топливного газа
Сборка и сварка на ТСБ двухтрубных секций Д мм 377-630,км,сборка сварка тсб двухтрубных секций д мм,97,двухтрубных секций тсб сборка сварка, уборка и свалка на ТСБ двухтрубных секция я мы 377-630
Ремонт и содержание вдольтрассового проезда лежневого типа,км,ремонт содержание вдольтрассового проезда лежневого типа,181,проезда временного вдольтрассового лежневого содержание, Ремонт и содержание вдольтрассового поезда лежневого типа
Контроль качества изоляционного покрытия трубопроводов Д мм 57-89,км,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы 57-89
Прокладка кабеля слаботочной сети в траншее (массой 1 м до 9 кг),м,прокладка кабеля слаботочной сети траншее массой м кг,59,траншее сети кг кабеля прокладка, Прокладка кабель слаботочной сети я траншее (массой 1 я до 9 кг)
Монтаж ворот ограждения,шт,монтаж ворот ограждения,108,ограждения калиток ворот монтаж перильного, Монтаж ворот ограждения
Монтаж плит перекрытий,шт,монтаж плит перекрытий,168,плит перекрытий пдн демонтаж железобетонных, Монтаж пит перекрытий
"Демонтаж приборов, устройств и электроустановочных изделий сетей СПБА",шт,демонтаж приборов устройств электроустановочных изделий сетей спба,275,изделий электроустановочных устройств приборов сетей," Демонтаж приборов, устройство и электроустановочных изделий детей СПБА"
Установка блока САУ и БСО,компл,установка блока сау бсо,74,блока установка сборка электроснабжения промежуточного, Установка блок сам и со
Гидравлическое испытание трубопроводов инженерных сетей Д мм 377-630,км,гидравлическое испытание трубопроводов инженерных сетей д мм,3,гидравлическое инженерных испытание сетей трубопроводов, Гидравлическое испытание трубопроводов инженерный детей я мы 377-630
Укрепление откосов и обочин гидропосевом трав,м2,укрепление откосов обочин гидропосевом трав,260,укрепление откосов обочин трав щебнем, Укрепление откосов и обочин гидропосевом прав
ВИК сварных соединений трубопроводов Д мм 108-168,стык,вик сварных соединений трубопроводов д мм,15,вик соединений сварных трубопроводов мм, ВИК сварных соединение трубопроводов я мы 108-168
"Нанесение ТЗП на элементы ГПА (вкл. вентиляцию, охлаждение)",компл,нанесение тзп элементы гпа вкл вентиляцию охлаждение,99,тзп элементы нанесение гпа охлаждение," Нанесение тип на элементы га (вкл. вентиляцию, охлаждение)"
"""Монтаж укрытия ГПА-32 """"Ладога""""""",компл,монтаж укрытия гпа ладога,100,ладога гпа укрытия монтаж демонтаж," монтаж укрытие ГПА-32 """"Ладога"""""""
Разработка траншеи под трубопровод Д 57-89,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок, Разработка траншеи под трубопровод я 57-89
Демонтаж кровельного покрытия (профлист),м2,демонтаж кровельного покрытия профлист,135,кровельного покрытия профлист сэндвичпанели демонтаж, Демонтаж кровельного покрытия (профлист)
Строительство переходов методом продавливания Д мм 219-325,км,строительство переходов методом продавливания д мм,35,продавливания переходов строительство методом мм, Строительство переходов методом продавливания я мы 219-325
Устройство производственного ВЗиС (склад),шт,устройство производственного взис склад,162,производственного склад взис устройство демонтаж, Устройство производственного ВЗиС (склад)
Монтаж резервуаров стальных вертикальных цилиндрических,шт,монтаж резервуаров стальных вертикальных цилиндрических,192,цилиндрических вертикальных резервуаров стальных монтаж, Монтаж резервуаров остальных вертикальных цилиндрических
Монтаж сварного полимерного трубопровода внутренних ИС Д мм 219-325,м,монтаж сварного полимерного трубопровода внутренних ис д мм,67,сварного полимерного трубопровода ис наружных, Монтаж сварного полимерного трубопровода внутренних и я мы 219-325
Сварка ТТ Д 57-89,стык,сварка тт д,69,тт сварка эхз конструкции коробов, свалка ты я 57-89
Строительство переходов методом микротоннелирования Д мм 720-1020,км,строительство переходов методом микротоннелирования д мм,34,микротоннелирования переходов строительство методом мм, Строительство переходов методом микротоннелирования я мы 720-1020
Электромонтажные работы,компл,электромонтажные работы,184,электромонтажные работы эхз конструктивных коробов, Электромонтажные работы
Монтаж турбоблока с компрессором,компл,монтаж турбоблока компрессором,249,турбоблока компрессором нагнетающая отводящая монтаж, Монтаж турбоблока я компрессором
Ручная сварка на трассе трубопроводов Д мм 57-89,км,ручная сварка трассе трубопроводов д мм,28,ручная трассе сварка трубопроводов мм, Ручная свалка на трассе трубопроводов я мы 57-89
Сборка и сварка труб и узлов на ПМУ Д мм 377-630,стык,сборка сварка труб узлов пму д мм,179,узлов пму труб сборка сварка, уборка и свалка труп и узлов на ему я мы 377-630
Ручная сварка стального трубопровода наружных ИС Д мм 377-630,м,ручная сварка стального трубопровода наружных ис д мм,62,стального ручная наружных трубопровода ис, Ручная свалка стального трубопровода наружных и я мы 377-630
Демонтаж фальшпола,м2,демонтаж фальшпола,151,фальшпола устройство демонтаж эхз конструктивных, Демонтаж фальшпола
Устройство основания из железобетонных буронабивных свай,шт,устройство основания железобетонных буронабивных свай,274,свай железобетонных основания устройство буронабивных, Устройство основания из железобетонных буронабивных свай
Устройство глубинного анодного заземлителя,шт,устройство глубинного анодного заземлителя,147,заземлителя анодного поверхностного глубинного устройство, Устройство глубинного анодного заземлителя
Монтаж ГТУ,компл,монтаж гту,80,гту цбн монтаж авом центровка, Монтаж эту
Вырезка гнутых отводов трубопроводов Д мм 108-168,шт,вырезка гнутых отводов трубопроводов д мм,40,вырезка гнутых отводов трубопроводов мм, Вырезка гнутых отводов трубопроводов я мы 108-168
"Испытания трубопроводов, контроль качества сварных соединений",компл,испытания трубопроводов контроль качества сварных соединений,14,испытания качества соединений контроль сварных," Испытания трубопроводов, контроль качества сварных соединение"
Устройство водопропускной трубы из гофрированного металла,м,устройство водопропускной трубы гофрированного металла,140,водопропускной трубы гофрированного металла железобетонной, Устройство водопропускной трубы из гофрированного металл
"Демонтаж элементов системы вентиляции (лючки, решетки)",шт,демонтаж элементов системы вентиляции лючки решетки,73,вентиляции системы монтаж трубопровода аварийной," Демонтаж элементов системы вентиляции (лючки, решетки)"
Демонтаж оборудования массой до 250 тн,шт,демонтаж оборудования массой тн,276,тн оборудования массой демонтаж монтаж, Демонтаж оборудование массой до 250 ты
Устройство колодцев дренажных из полимерных материалов,шт,устройство колодцев дренажных полимерных материалов,121,полимерных дренажных материалов колодцев устройство, Устройство колодцев дренажных из полимерных материалов
"Демонтаж фундаментных, стеновых блоков и плит",шт,демонтаж фундаментных стеновых блоков плит,167,фундаментных стеновых плит блоков демонтаж," Демонтаж фундаментных, стеновых блоков и пит"
Монтаж технологических захлестов Д мм 219-325,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз, Монтаж технологических захлестов я мы 219-325
Заполнение внутренних дверных проемов,м2,заполнение внутренних дверных проемов,171,проемов дверных внутренних заполнение демонтаж, Заполнение внутренних дверных проемов
Монтаж оборудования сетей СОП,шт,монтаж оборудования сетей соп,277,оборудования сетей демонтаж монтаж оэ, Монтаж оборудование детей со
Трубопровод промывки ГВТ,компл,трубопровод промывки гвт,222,промывки гвт трубопровод блока установка, Трубопровод промывки ГВТ
Испытания трубопроводов ИС,м3,испытания трубопроводов ис,14,испытания качества соединений контроль сварных, Испытания трубопроводов и
Прокладка кабеля слаботочной сети в траншее (массой 1 м до 1 кг),м,прокладка кабеля слаботочной сети траншее массой м кг,59,траншее сети кг кабеля прокладка, Прокладка кабель слаботочной сети я траншее (массой 1 я до 1 кг)
Демонтаж: конструкции сборные бетонные и железобетонные,м3,демонтаж конструкции сборные бетонные железобетонные,172,конструкции монолитные бетонные железобетонные разборка, Демонтаж: конструкции сборные бетонные и железобетонные
Монтаж стального трубопровода внутренних ИС Д мм <57,м,монтаж стального трубопровода внутренних ис д мм,63,стального внутренних трубопровода ис мм, Монтаж стального трубопровода внутренних и я мы <57
Электромонтажные работы,компл,электромонтажные работы,184,электромонтажные работы эхз конструктивных коробов, Электромонтажные работы
Планировка насыпи и откосов механизированная,м2,планировка насыпи откосов механизированная,259,насыпи планировка откосов механизированная устройство, Планировка насыпи и откосов механизированная
Устройство основания из бурозабивных металлических свай,шт,устройство основания бурозабивных металлических свай,273,металлических свай основания устройство буроопускных, Устройство основания из бурозабивных металлический свай
Контроль качества изоляционного покрытия трубопроводов Д мм 108-168,м2,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы 108-168
Разработка траншеи под трубопровод Д 720-1020,км,разработка траншеи трубопровод д,266,траншеи разработка трубопровод конструкций коробок, Разработка траншеи под трубопровод я 720-1020
Монтаж соединительных коробок,шт,монтаж соединительных коробок,228,коробок соединительных демонтаж монтаж эхз, Монтаж соединительных коробок
Футеровка трубопроводов скальным листом Д мм 377-630,км,футеровка трубопроводов скальным листом д мм,50,скальным листом футеровка трубопроводов мм, Футеровка трубопроводов скальным листом я мы 377-630
Футеровка трубопроводов футеровочными рейками Д мм 720-1020,км,футеровка трубопроводов футеровочными рейками д мм,49,рейками футеровочными футеровка трубопроводов мм, Футеровка трубопроводов футеровочными рейками я мы 720-1020
"Прокладка кабеля электрической сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 9 кг)",м,прокладка кабеля электрической сети конструкциям трубах блоках коробах массой м кг,56,коробах конструкциям блоках трубах сети," Прокладка кабель электрический сети по конструкциям, я трубах, блоках и коробах (массой 1 я до 9 кг)"
Очистка внутренней полости трубопроводов воздухом Д мм 720-1020,км,очистка внутренней полости трубопроводов воздухом д мм,8,воздухом очистка внутренней полости трубопроводов, Очистка внутренний полости трубопроводов воздухом я мы 720-1020
Демонтаж ЗРА наружных инженерных сетей Д мм 108-168,шт,демонтаж зра наружных инженерных сетей д мм,281,инженерных наружных сетей демонтаж мм, Демонтаж за наружных инженерный детей я мы 108-168
Укрепление откосов щебнем/песком (с применением георешеток),м2,укрепление откосов щебнемпеском применением георешеток,260,укрепление откосов обочин трав щебнем, Укрепление откосов щебнем/песком ас применение георешеток)
Устройство тросово-сетчатого ограждения,м2,устройство тросовосетчатого ограждения,108,ограждения калиток ворот монтаж перильного, Устройство тросово-сетчатого ограждения
Магнитопорошковый контроль стыков Д мм 108-168,стык,магнитопорошковый контроль стыков д мм,24,магнитопорошковый контроль стыков мм эхз, Магнитопорошковый контроль стыков я мы 108-168
Устройство коробчатых габионов,м3,устройство коробчатых габионов,155,габионов коробчатых устройство демонтаж колонн, Устройство коробчатых габионов
Прокладка трубопроводов методом протаскивания через водные преграды Д мм 219-325,км,прокладка трубопроводов методом протаскивания водные преграды д мм,42,водные преграды протаскивания методом прокладка, Прокладка трубопроводов методом протаскивания через водные преграды я мы 219-325
Монтаж оборудования сетей ПС,шт,монтаж оборудования сетей пс,277,оборудования сетей демонтаж монтаж оэ, Монтаж оборудование детей по
Балластировка трубопроводов устройствами типа ПТБК Д мм 1220-1420,шт,балластировка трубопроводов устройствами типа птбк д мм,37,балластировка устройствами типа трубопроводов мм, Балластировка трубопроводов устройствами типа ПТБК я мы 1220-1420
Очистка внутренней полости трубопроводов водой Д мм 57-89,км,очистка внутренней полости трубопроводов водой д мм,10,водой очистка внутренней полости трубопроводов, Очистка внутренний полости трубопроводов водой я мы 57-89
Демонтаж вставки электроизолирующей на трубопроводе Д мм 219-325,шт,демонтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж, Демонтаж ставки электроизолирующей на трубопроводе я мы 219-325
Устройство прямых врезок Д мм 720-1020,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм, Устройство прямые врезок я мы 720-1020
Демонтаж ЗРА наружных инженерных сетей Д мм 720-1020,шт,демонтаж зра наружных инженерных сетей д мм,281,инженерных наружных сетей демонтаж мм, Демонтаж за наружных инженерный детей я мы 720-1020
Демонтаж ТТ Д 57-89,м,демонтаж тт д,71,тт демонтаж эхз конструкций коробок, Демонтаж ты я 57-89
Теплоизоляция ЗРА Д <200 матами минераловатными,м3,теплоизоляция зра д матами минераловатными,165,минераловатными матами теплоизоляция зра плитами, Теплоизоляция за я <200 майами минераловатными
Изготовление армокаркаса свай,т,изготовление армокаркаса свай,272,изготовление свай армокаркаса оголовков металлических, Изготовление армокаркаса свай
"Прокладка кабеля слаботочной сети по конструкциям, в трубах, блоках и коробах (массой 1 м до 9 кг)",м,прокладка кабеля слаботочной сети конструкциям трубах блоках коробах массой м кг,56,коробах конструкциям блоках трубах сети," Прокладка кабель слаботочной сети по конструкциям, я трубах, блоках и коробах (массой 1 я до 9 кг)"
"Демонтаж приборов, устройств и электроустановочных изделий сетей ПС",шт,демонтаж приборов устройств электроустановочных изделий сетей пс,275,изделий электроустановочных устройств приборов сетей," Демонтаж приборов, устройство и электроустановочных изделий детей по"
Обратная засыпка траншеи под трубопровод Д <57,км,обратная засыпка траншеи трубопровод д,267,траншеи засыпка обратная трубопровод подводной, Обратная засыпка траншеи под трубопровод я <57
Ручная сварка стального трубопровода наружных ИС Д мм <57,м,ручная сварка стального трубопровода наружных ис д мм,62,стального ручная наружных трубопровода ис, Ручная свалка стального трубопровода наружных и я мы <57
Установка бортовых камней,шт,установка бортовых камней,215,камней бортовых установка демонтаж эхз, Установка бортовых камней
Штукатурка наружных стен,м2,штукатурка наружных стен,124,штукатурка стен внутренних наружных эхз, Штукатурка наружных стен
Изоляция ТУМ стыков трубопроводов Д 1220-1420,стык,изоляция тум стыков трубопроводов д,19,изоляция тум стыков трубопроводов эхз, Изоляция там стыков трубопроводов я 1220-1420
Кладка стен из пазогребневых плит,м3,кладка стен пазогребневых плит,126,кладка кирпича стен пеноблоков пазогребневых, кларка стен из пазогребневых пит
Демонтаж опорных частей мостов,шт,демонтаж опорных частей мостов,234,опорных частей мостов крепления конструкций, Демонтаж опорных частей мостов
Автоматическая сварка на трассе комплексами типа CRC-EVANS трубопроводов мм 1220-1420,стык,автоматическая сварка трассе комплексами типа crcevans трубопроводов мм,30,комплексами автоматическая трассе типа сварка, Автоматическая свалка на трассе комплексами типа CRC-EVANS трубопроводов мы 1220-1420
Бетонирование фундаментов под оборудование,м3,бетонирование фундаментов оборудование,262,бетонирование фундаментов перекрытия полов оборудование, Бетонирование фундаментов под оборудование
Монтаж трубопроводов под кабельную продукцию,м,монтаж трубопроводов кабельную продукцию,197,кабельную продукцию гофрированной трубопроводов трубы, Монтаж трубопроводов под кабельную продукцию
Монтаж стального трубопровода внутренних ИС Д мм 57-89,м,монтаж стального трубопровода внутренних ис д мм,63,стального внутренних трубопровода ис мм, Монтаж стального трубопровода внутренних и я мы 57-89
"Демонтаж кабеля, проложенного по конструкциям, в трубах, блоках и коробах (массой 1 м до 9 кг)",м,демонтаж кабеля проложенного конструкциям трубах блоках коробах массой м кг,55,трубах блоках конструкциям коробах проложенного," Демонтаж кабеля, проложенного по конструкциям, я трубах, блоках и коробах (массой 1 я до 9 кг)"
Мульчирование при строительстве трубопроводов Д мм 1220-1420,км,мульчирование строительстве трубопроводов д мм,46,мульчирование строительстве трубопроводов мм колодцев, Мульчирование при строительство трубопроводов я мы 1220-1420
Футеровка трубопроводов скальным листом Д мм 720-1020,км,футеровка трубопроводов скальным листом д мм,50,скальным листом футеровка трубопроводов мм, Футеровка трубопроводов скальным листом я мы 720-1020
Установка программного обеспечения: наи-ние подвида системы (пример - системы ИБ),компл,установка программного обеспечения наиние подвида системы пример системы иб,87,обеспечения барьерным системы воздухом монтаж, Установка программного обеспечения: наи-ние подвида системы пример - системы ибо
Монтаж технологических захлестов Д мм 377-630,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз, Монтаж технологических захлестов я мы 377-630
Осушка внутренней полости технологических трубопроводов Д мм 108-168,км,осушка внутренней полости технологических трубопроводов д мм,7,осушка внутренней полости технологических трубопроводов, Осушка внутренний полости технологических трубопроводов я мы 108-168
Транспортировка МТР и Оборудования,т/км,транспортировка мтр оборудования,174,мтр транспортировка оборудования линейных конструкции, Транспортировка мир и оборудование
УЗК сварных соединений м/к,м,узк сварных соединений мк,12,узк соединений сварных трубопроводов мм, узи сварных соединение мак
Прокладка трубопроводов методом протаскивания через водные преграды Д мм 1220-1420,км,прокладка трубопроводов методом протаскивания водные преграды д мм,42,водные преграды протаскивания методом прокладка, Прокладка трубопроводов методом протаскивания через водные преграды я мы 1220-1420
Демонтаж оборудования системы ЭХЗ,шт,демонтаж оборудования системы эхз,90,эхз оборудования системы демонтаж монтаж, Демонтаж оборудование системы эх
Кладка стен из пеноблоков,м3,кладка стен пеноблоков,126,кладка кирпича стен пеноблоков пазогребневых, кларка стен из пеноблоков
Обратная засыпка трубопровода земснярядами,м3,обратная засыпка трубопровода земснярядами,269,обратная засыпка грунта бульдозером экскаватором, Обратная засыпка трубопровода земснярядами
"Демонтаж теплоизоляции конструкций (стен, цоколя)",м3,демонтаж теплоизоляции конструкций стен цоколя,128,конструкций стен ограждающих цоколя сэндвичпанели," Демонтаж теплоизоляции конструкций (стен, цоколя)"
ВИК сварных соединений трубопроводов Д мм 219-325,стык,вик сварных соединений трубопроводов д мм,15,вик соединений сварных трубопроводов мм, ВИК сварных соединение трубопроводов я мы 219-325
Установка ворот в зданиях и сооружениях,шт,установка ворот зданиях сооружениях,212,зданиях сооружениях ворот установка демонтаж, Установка ворот я здания и сооружениях
"Демонтаж самонесущего кабеля ВОЛС, проложенного по железобетонным и стальным опорам вручную",м,демонтаж самонесущего кабеля волс проложенного железобетонным стальным опорам вручную,200,волс кабеля прокладка стальным самонесущего," Демонтаж самонесущего кабель ВОЛС, проложенного по железобетонным и остальным опора вручную"
Демонтаж проводов ВЛ 6-10 кВ в три нитки,м,демонтаж проводов вл кв нитки,111,вл кв проводов стальных нитки, Демонтаж приводов вы 6-10 ко я три никки
Очистка внутренней полости трубопроводов воздухом Д мм 219-325,км,очистка внутренней полости трубопроводов воздухом д мм,8,воздухом очистка внутренней полости трубопроводов, Очистка внутренний полости трубопроводов воздухом я мы 219-325
Демонтаж емкости канализационных стоков,шт,демонтаж емкости канализационных стоков,161,канализационных емкости стоков устройство демонтаж, Демонтаж емкости канализационных стоков
Мульчирование при строительстве трубопроводов Д мм 377-630,км,мульчирование строительстве трубопроводов д мм,46,мульчирование строительстве трубопроводов мм колодцев, Мульчирование при строительство трубопроводов я мы 377-630
Контроль качества изоляционного покрытия трубопроводов Д мм 1220-1420,км,контроль качества изоляционного покрытия трубопроводов д мм,18,изоляционного качества покрытия контроль трубопроводов, Контроль качества изоляционного покрытия трубопроводов я мы 1220-1420
Прокладка кабеля слаботочной сети в траншее (массой 1 м до 6 кг),м,прокладка кабеля слаботочной сети траншее массой м кг,59,траншее сети кг кабеля прокладка, Прокладка кабель слаботочной сети я траншее (массой 1 я до 6 кг)
Ручная сварка на трассе трубопроводов Д мм 720-1020,стык,ручная сварка трассе трубопроводов д мм,28,ручная трассе сварка трубопроводов мм, Ручная свалка на трассе трубопроводов я мы 720-1020
Монтаж ТТ Д 108-168 на эстакадах высотой свыше 25 м,м,монтаж тт д эстакадах высотой свыше м,68,эстакадах высотой свыше тт сварка, Монтаж ты я 108-168 на эстакадах высотой свыше 25 я
Установка блока вентиляции,компл,установка блока вентиляции,74,блока установка сборка электроснабжения промежуточного, Установка блок вентиляции
Монтаж оборудования сетей ЭМ,шт,монтаж оборудования сетей эм,277,оборудования сетей демонтаж монтаж оэ, Монтаж оборудование детей ЭМ
Монтаж ЗРА внутренних ИС Д мм 57-89,шт,монтаж зра внутренних ис д мм,64,внутренних зра ис монтаж мм, Монтаж за внутренних и я мы 57-89
"Монтаж приборов, устройств и электроустановочных изделий СКС",шт,монтаж приборов устройств электроустановочных изделий скс,275,изделий электроустановочных устройств приборов сетей," Монтаж приборов, устройство и электроустановочных изделий секс"
Монтаж оборудования массой до 125 тн,шт,монтаж оборудования массой тн,276,тн оборудования массой демонтаж монтаж, Монтаж оборудование массой до 125 ты
Монтаж водопровода противопожарного,компл,монтаж водопровода противопожарного,250,монтаж компрессора заземляющих индивидуального противопожарного, Монтаж водопровода противопожарного
Демонтаж бортовых камней,шт,демонтаж бортовых камней,215,камней бортовых установка демонтаж эхз, Демонтаж бортовых камней
Разводка по устройствам и подключение жил электрических кабелей,жил,разводка устройствам подключение жил электрических кабелей,243,устройствам подключение разводка жил кабелей, разведка по устройства и подключение жил электрический кабелей
Устройство поверхностного анодного заземлителя,шт,устройство поверхностного анодного заземлителя,147,заземлителя анодного поверхностного глубинного устройство, Устройство поверхностного анодного заземлителя
Прокладка кабеля электрической сети по эстакадам высотой свыше 15 м (массой 1 м до 1 кг),м,прокладка кабеля электрической сети эстакадам высотой свыше м массой м кг,61,электрической эстакадам сети кг кабеля, Прокладка кабель электрический сети по эстакадам высотой свыше 15 я (массой 1 я до 1 кг)
Монтаж блока ГТУ. Этап 2,компл,монтаж блока гту этап,76,блока этап гту монтаж рво, Монтаж блок ГТУ. Этап 2
Монтаж системы пожаротушения турбоблока,компл,монтаж системы пожаротушения турбоблока,86,пожаротушения системы трубопроводы турбоблока монтаж, Монтаж системы пожаротушения турбоблока
Демонтаж проводника заземляющего из изолированного провода,м,демонтаж проводника заземляющего изолированного провода,199,проводника заземляющего изолированного провода присоединение, Демонтаж проводник заземляющего из изолированного провода
Балластировка трубопроводов устройствами типа УЧК Д мм 377-630,шт,балластировка трубопроводов устройствами типа учк д мм,37,балластировка устройствами типа трубопроводов мм, Балластировка трубопроводов устройствами типа учи я мы 377-630
