task_id,task_name,measurement,processed_task_name,cluster,general_name
358,Ручная сварка на трассе трубопроводов Д мм 720-1020,стык,ручная сварка трассе трубопроводов д мм,28,ручная трассе сварка трубопроводов мм
359,Ручная сварка на трассе трубопроводов Д мм 1220-1420,стык,ручная сварка трассе трубопроводов д мм,28,ручная трассе сварка трубопроводов мм
360,Изготовление гнутых отводов трубопроводов Д мм <57,шт,изготовление гнутых отводов трубопроводов д мм,39,гнутых изготовление отводов трубопроводов мм
361,Изготовление гнутых отводов трубопроводов Д мм 57-89,шт,изготовление гнутых отводов трубопроводов д мм,39,гнутых изготовление отводов трубопроводов мм
362,Изготовление гнутых отводов трубопроводов Д мм 108-168,шт,изготовление гнутых отводов трубопроводов д мм,39,гнутых изготовление отводов трубопроводов мм
363,Изготовление гнутых отводов трубопроводов Д мм 219-325,шт,изготовление гнутых отводов трубопроводов д мм,39,гнутых изготовление отводов трубопроводов мм
364,Изготовление гнутых отводов трубопроводов Д мм 377-630,шт,изготовление гнутых отводов трубопроводов д мм,39,гнутых изготовление отводов трубопроводов мм
365,Изготовление гнутых отводов трубопроводов Д мм 720-1020,шт,изготовление гнутых отводов трубопроводов д мм,39,гнутых изготовление отводов трубопроводов мм
366,Изготовление гнутых отводов трубопроводов Д мм 1220-1420,шт,изготовление гнутых отводов трубопроводов д мм,39,гнутых изготовление отводов трубопроводов мм
367,Автоматическая сварка на трассе комплексами типа CRC-EVANS трубопроводов мм 720-1020,км,автоматическая сварка трассе комплексами типа crcevans трубопроводов мм,30,комплексами автоматическая трассе типа сварка
368,Автоматическая сварка на трассе комплексами типа CRC-EVANS трубопроводов мм 1220-1420,км,автоматическая сварка трассе комплексами типа crcevans трубопроводов мм,30,комплексами автоматическая трассе типа сварка
369,Автоматическая сварка на трассе комплексами типа Vermaat трубопроводов мм 720-1020,км,автоматическая сварка трассе комплексами типа vermaat трубопроводов мм,30,комплексами автоматическая трассе типа сварка
370,Автоматическая сварка на трассе комплексами типа Vermaat трубопроводов мм 1220-1420,км,автоматическая сварка трассе комплексами типа vermaat трубопроводов мм,30,комплексами автоматическая трассе типа сварка
371,Полуавтоматическая сварка на трассе типа STT+M300 трубопроводов Д мм 720-1020,км,полуавтоматическая сварка трассе типа sttm трубопроводов д мм,29,полуавтоматическая sttm трассе типа сварка
372,Полуавтоматическая сварка на трассе типа STT+M300 трубопроводов Д мм 1220-1420,км,полуавтоматическая сварка трассе типа sttm трубопроводов д мм,29,полуавтоматическая sttm трассе типа сварка
373,Автоматическая сварка на трассе комплексами типа CRC-EVANS трубопроводов мм 720-1020,стык,автоматическая сварка трассе комплексами типа crcevans трубопроводов мм,30,комплексами автоматическая трассе типа сварка
374,Автоматическая сварка на трассе комплексами типа CRC-EVANS трубопроводов мм 1220-1420,стык,автоматическая сварка трассе комплексами типа crcevans трубопроводов мм,30,комплексами автоматическая трассе типа сварка
375,Автоматическая сварка на трассе комплексами типа Vermaat трубопроводов мм 720-1020,стык,автоматическая сварка трассе комплексами типа vermaat трубопроводов мм,30,комплексами автоматическая трассе типа сварка
376,Автоматическая сварка на трассе комплексами типа Vermaat трубопроводов мм 1220-1420,стык,автоматическая сварка трассе комплексами типа vermaat трубопроводов мм,30,комплексами автоматическая трассе типа сварка
377,Полуавтоматическая сварка на трассе типа STT+M300 трубопроводов Д мм 720-1020,стык,полуавтоматическая сварка трассе типа sttm трубопроводов д мм,29,полуавтоматическая sttm трассе типа сварка
378,Полуавтоматическая сварка на трассе типа STT+M300 трубопроводов Д мм 1220-1420,стык,полуавтоматическая сварка трассе типа sttm трубопроводов д мм,29,полуавтоматическая sttm трассе типа сварка
379,Установка крутоизогнутых отводов типа ОГ Д мм <57,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа
380,Установка крутоизогнутых отводов типа ОГ Д мм 57-89,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа
381,Установка крутоизогнутых отводов типа ОГ Д мм 108-168,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа
382,Установка крутоизогнутых отводов типа ОГ Д мм 219-325,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа
383,Установка крутоизогнутых отводов типа ОГ Д мм 377-630,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа
384,Установка крутоизогнутых отводов типа ОГ Д мм 720-1020,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа
385,Установка крутоизогнутых отводов типа ОГ Д мм 1220-1420,шт,установка крутоизогнутых отводов типа ог д мм,38,ог крутоизогнутых отводов установка типа
386,Монтаж технологических захлестов Д мм <57,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз
387,Монтаж технологических захлестов Д мм 57-89,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз
388,Монтаж технологических захлестов Д мм 108-168,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз
389,Монтаж технологических захлестов Д мм 219-325,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз
390,Монтаж технологических захлестов Д мм 377-630,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз
391,Монтаж технологических захлестов Д мм 720-1020,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз
392,Монтаж технологических захлестов Д мм 1220-1420,стык,монтаж технологических захлестов д мм,72,захлестов технологических монтаж мм эхз
393,Ремонт сварных стыков Д мм <57,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз
394,Ремонт сварных стыков Д мм 57-89,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз
395,Ремонт сварных стыков Д мм 108-168,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз
396,Ремонт сварных стыков Д мм 219-325,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз
397,Ремонт сварных стыков Д мм 377-630,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз
398,Ремонт сварных стыков Д мм 720-1020,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз
399,Ремонт сварных стыков Д мм 1220-1420,стык,ремонт сварных стыков д мм,26,ремонт сварных стыков мм эхз
400,Устройство прямых врезок Д мм <57,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм
401,Устройство прямых врезок Д мм 57-89,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм
402,Устройство прямых врезок Д мм 108-168,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм
403,Устройство прямых врезок Д мм 219-325,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм
404,Устройство прямых врезок Д мм 377-630,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм
405,Устройство прямых врезок Д мм 720-1020,врезка,устройство прямых врезок д мм,270,прямых врезок устройство давлением мм
406,Устройство прямых врезок под давлением Д мм <57,врезка,устройство прямых врезок давлением д мм,270,прямых врезок устройство давлением мм
407,Устройство прямых врезок под давлением Д мм 57-89,врезка,устройство прямых врезок давлением д мм,270,прямых врезок устройство давлением мм
408,Устройство прямых врезок под давлением Д мм 108-168,врезка,устройство прямых врезок давлением д мм,270,прямых врезок устройство давлением мм
409,Устройство прямых врезок под давлением Д мм 219-325,врезка,устройство прямых врезок давлением д мм,270,прямых врезок устройство давлением мм
410,Устройство прямых врезок под давлением Д мм 377-630,врезка,устройство прямых врезок давлением д мм,270,прямых врезок устройство давлением мм
411,Устройство прямых врезок под давлением Д мм 720-1020,врезка,устройство прямых врезок давлением д мм,270,прямых врезок устройство давлением мм
412,Укладка трубопроводов Д мм <57,км,укладка трубопроводов д мм,43,укладка трубопроводов мм колодцев конструкций
413,Укладка трубопроводов Д мм 57-89,км,укладка трубопроводов д мм,43,укладка трубопроводов мм колодцев конструкций
414,Укладка трубопроводов Д мм 108-168,км,укладка трубопроводов д мм,43,укладка трубопроводов мм колодцев конструкций
415,Укладка трубопроводов Д мм 219-325,км,укладка трубопроводов д мм,43,укладка трубопроводов мм колодцев конструкций
416,Укладка трубопроводов Д мм 377-630,км,укладка трубопроводов д мм,43,укладка трубопроводов мм колодцев конструкций
417,Укладка трубопроводов Д мм 720-1020,км,укладка трубопроводов д мм,43,укладка трубопроводов мм колодцев конструкций
418,Укладка трубопроводов Д мм 1220-1420,км,укладка трубопроводов д мм,43,укладка трубопроводов мм колодцев конструкций
419,Раскладка труб на трассе Д мм <57,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции
420,Раскладка труб на трассе Д мм 57-89,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции
421,Раскладка труб на трассе Д мм 108-168,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции
422,Раскладка труб на трассе Д мм 219-325,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции
423,Раскладка труб на трассе Д мм 377-630,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции
424,Раскладка труб на трассе Д мм 720-1020,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции
425,Раскладка труб на трассе Д мм 1220-1420,км,раскладка труб трассе д мм,27,раскладка труб трассе мм конструкции
426,Балластировка трубопроводов устройствами типа ПКБУ-МК Д мм 377-630,шт,балластировка трубопроводов устройствами типа пкбумк д мм,37,балластировка устройствами типа трубопроводов мм
427,Балластировка трубопроводов устройствами типа ПКБУ-МК Д мм 720-1020,шт,балластировка трубопроводов устройствами типа пкбумк д мм,37,балластировка устройствами типа трубопроводов мм
428,Балластировка трубопроводов устройствами типа ПКБУ-МК Д мм 1220-1420,шт,балластировка трубопроводов устройствами типа пкбумк д мм,37,балластировка устройствами типа трубопроводов мм
429,Балластировка трубопроводов устройствами типа УБО-УМ Д мм 377-630,шт,балластировка трубопроводов устройствами типа убоум д мм,37,балластировка устройствами типа трубопроводов мм
430,Балластировка трубопроводов устройствами типа УБО-УМ Д мм 720-1020,шт,балластировка трубопроводов устройствами типа убоум д мм,37,балластировка устройствами типа трубопроводов мм
431,Балластировка трубопроводов устройствами типа УБО-УМ Д мм 1220-1420,шт,балластировка трубопроводов устройствами типа убоум д мм,37,балластировка устройствами типа трубопроводов мм
432,Балластировка трубопроводов устройствами типа УТК Д мм 377-630,шт,балластировка трубопроводов устройствами типа утк д мм,37,балластировка устройствами типа трубопроводов мм
433,Балластировка трубопроводов устройствами типа УТК Д мм 720-1020,шт,балластировка трубопроводов устройствами типа утк д мм,37,балластировка устройствами типа трубопроводов мм
434,Балластировка трубопроводов устройствами типа УТК Д мм 1220-1420,шт,балластировка трубопроводов устройствами типа утк д мм,37,балластировка устройствами типа трубопроводов мм
435,Балластировка трубопроводов устройствами типа ПТБК Д мм 377-630,шт,балластировка трубопроводов устройствами типа птбк д мм,37,балластировка устройствами типа трубопроводов мм
436,Балластировка трубопроводов устройствами типа ПТБК Д мм 720-1020,шт,балластировка трубопроводов устройствами типа птбк д мм,37,балластировка устройствами типа трубопроводов мм
437,Балластировка трубопроводов устройствами типа ПТБК Д мм 1220-1420,шт,балластировка трубопроводов устройствами типа птбк д мм,37,балластировка устройствами типа трубопроводов мм
438,Балластировка трубопроводов устройствами типа ВАУ Д мм 377-630,шт,балластировка трубопроводов устройствами типа вау д мм,37,балластировка устройствами типа трубопроводов мм
439,Балластировка трубопроводов устройствами типа ВАУ Д мм 720-1020,шт,балластировка трубопроводов устройствами типа вау д мм,37,балластировка устройствами типа трубопроводов мм
440,Балластировка трубопроводов устройствами типа ВАУ Д мм 1220-1420,шт,балластировка трубопроводов устройствами типа вау д мм,37,балластировка устройствами типа трубопроводов мм
441,Балластировка трубопроводов устройствами типа УЧК Д мм 377-630,шт,балластировка трубопроводов устройствами типа учк д мм,37,балластировка устройствами типа трубопроводов мм
442,Балластировка трубопроводов устройствами типа УЧК Д мм 720-1020,шт,балластировка трубопроводов устройствами типа учк д мм,37,балластировка устройствами типа трубопроводов мм
443,Балластировка трубопроводов устройствами типа УЧК Д мм 1220-1420,шт,балластировка трубопроводов устройствами типа учк д мм,37,балластировка устройствами типа трубопроводов мм
444,Футеровка трубопроводов футеровочными рейками Д мм 219-325,км,футеровка трубопроводов футеровочными рейками д мм,49,рейками футеровочными футеровка трубопроводов мм
445,Футеровка трубопроводов футеровочными рейками Д мм 377-630,км,футеровка трубопроводов футеровочными рейками д мм,49,рейками футеровочными футеровка трубопроводов мм
446,Футеровка трубопроводов футеровочными рейками Д мм 720-1020,км,футеровка трубопроводов футеровочными рейками д мм,49,рейками футеровочными футеровка трубопроводов мм
447,Футеровка трубопроводов футеровочными рейками Д мм 1220-1420,км,футеровка трубопроводов футеровочными рейками д мм,49,рейками футеровочными футеровка трубопроводов мм
448,Футеровка трубопроводов скальным листом Д мм 219-325,км,футеровка трубопроводов скальным листом д мм,50,скальным листом футеровка трубопроводов мм
449,Футеровка трубопроводов скальным листом Д мм 377-630,км,футеровка трубопроводов скальным листом д мм,50,скальным листом футеровка трубопроводов мм
450,Футеровка трубопроводов скальным листом Д мм 720-1020,км,футеровка трубопроводов скальным листом д мм,50,скальным листом футеровка трубопроводов мм
451,Футеровка трубопроводов скальным листом Д мм 1220-1420,км,футеровка трубопроводов скальным листом д мм,50,скальным листом футеровка трубопроводов мм
452,Прокладка трубопроводов при пересечениях Д мм до 168,шт,прокладка трубопроводов пересечениях д мм,51,пересечениях прокладка трубопроводов мм коробов
453,Прокладка трубопроводов при пересечениях Д мм 219-325,шт,прокладка трубопроводов пересечениях д мм,51,пересечениях прокладка трубопроводов мм коробов
454,Прокладка трубопроводов при пересечениях Д мм 377-630,шт,прокладка трубопроводов пересечениях д мм,51,пересечениях прокладка трубопроводов мм коробов
455,Прокладка трубопроводов при пересечениях Д мм 720-1020,шт,прокладка трубопроводов пересечениях д мм,51,пересечениях прокладка трубопроводов мм коробов
456,Прокладка трубопроводов при пересечениях Д мм 1220-1420,шт,прокладка трубопроводов пересечениях д мм,51,пересечениях прокладка трубопроводов мм коробов
457,Прокладка трубопроводов методом протаскивания через водные преграды Д мм до 168,км,прокладка трубопроводов методом протаскивания водные преграды д мм,42,водные преграды протаскивания методом прокладка
458,Прокладка трубопроводов методом протаскивания через водные преграды Д мм 219-325,км,прокладка трубопроводов методом протаскивания водные преграды д мм,42,водные преграды протаскивания методом прокладка
459,Прокладка трубопроводов методом протаскивания через водные преграды Д мм 377-630,км,прокладка трубопроводов методом протаскивания водные преграды д мм,42,водные преграды протаскивания методом прокладка
460,Прокладка трубопроводов методом протаскивания через водные преграды Д мм 720-1020,км,прокладка трубопроводов методом протаскивания водные преграды д мм,42,водные преграды протаскивания методом прокладка
461,Прокладка трубопроводов методом протаскивания через водные преграды Д мм 1220-1420,км,прокладка трубопроводов методом протаскивания водные преграды д мм,42,водные преграды протаскивания методом прокладка
462,Прокладка трубопроводов методом протаскивания через кожух Д мм до 168,км,прокладка трубопроводов методом протаскивания кожух д мм,41,кожух протаскивания методом прокладка трубопроводов
463,Прокладка трубопроводов методом протаскивания через кожух Д мм 219-325,км,прокладка трубопроводов методом протаскивания кожух д мм,41,кожух протаскивания методом прокладка трубопроводов
464,Прокладка трубопроводов методом протаскивания через кожух Д мм 377-630,км,прокладка трубопроводов методом протаскивания кожух д мм,41,кожух протаскивания методом прокладка трубопроводов
465,Прокладка трубопроводов методом протаскивания через кожух Д мм 720-1020,км,прокладка трубопроводов методом протаскивания кожух д мм,41,кожух протаскивания методом прокладка трубопроводов
466,Прокладка трубопроводов методом протаскивания через кожух Д мм 1220-1420,км,прокладка трубопроводов методом протаскивания кожух д мм,41,кожух протаскивания методом прокладка трубопроводов
467,Строительство переходов методом ГНБ Д мм до 168,км,строительство переходов методом гнб д мм,33,гнб переходов строительство методом мм
468,Строительство переходов методом ГНБ Д мм 219-325,км,строительство переходов методом гнб д мм,33,гнб переходов строительство методом мм
469,Строительство переходов методом ГНБ Д мм 377-630,км,строительство переходов методом гнб д мм,33,гнб переходов строительство методом мм
470,Строительство переходов методом ГНБ Д мм 720-1020,км,строительство переходов методом гнб д мм,33,гнб переходов строительство методом мм
471,Строительство переходов методом ГНБ Д мм 1220-1420,км,строительство переходов методом гнб д мм,33,гнб переходов строительство методом мм
472,Строительство переходов методом продавливания Д мм 219-325,км,строительство переходов методом продавливания д мм,35,продавливания переходов строительство методом мм
473,Строительство переходов методом продавливания Д мм 377-630,км,строительство переходов методом продавливания д мм,35,продавливания переходов строительство методом мм
474,Строительство переходов методом продавливания Д мм 720-1020,км,строительство переходов методом продавливания д мм,35,продавливания переходов строительство методом мм
475,Строительство переходов методом продавливания Д мм 1220-1420,км,строительство переходов методом продавливания д мм,35,продавливания переходов строительство методом мм
476,Строительство переходов методом Direct Pipe Д мм 219-325,км,строительство переходов методом direct pipe д мм,32,pipe direct переходов строительство методом
477,Строительство переходов методом Direct Pipe Д мм 377-630,км,строительство переходов методом direct pipe д мм,32,pipe direct переходов строительство методом
478,Строительство переходов методом Direct Pipe Д мм 720-1020,км,строительство переходов методом direct pipe д мм,32,pipe direct переходов строительство методом
479,Строительство переходов методом Direct Pipe Д мм 1220-1420,км,строительство переходов методом direct pipe д мм,32,pipe direct переходов строительство методом
480,Строительство переходов методом микротоннелирования Д мм 219-325,км,строительство переходов методом микротоннелирования д мм,34,микротоннелирования переходов строительство методом мм
481,Строительство переходов методом микротоннелирования Д мм 377-630,км,строительство переходов методом микротоннелирования д мм,34,микротоннелирования переходов строительство методом мм
482,Строительство переходов методом микротоннелирования Д мм 720-1020,км,строительство переходов методом микротоннелирования д мм,34,микротоннелирования переходов строительство методом мм
483,Строительство переходов методом микротоннелирования Д мм 1220-1420,км,строительство переходов методом микротоннелирования д мм,34,микротоннелирования переходов строительство методом мм
484,Строительство переходов открытым способом Д мм до 168,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм
485,Строительство переходов открытым способом Д мм 219-325,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм
486,Строительство переходов открытым способом Д мм 377-630,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм
487,Строительство переходов открытым способом Д мм 720-1020,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм
488,Строительство переходов открытым способом Д мм 1220-1420,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм
489,Строительство переходов открытым способом Д мм 1720,км,строительство переходов открытым способом д мм,31,открытым способом переходов строительство мм
490,Установка свечи вытяжной к кожуху Д мм до 89,шт,установка свечи вытяжной кожуху д мм,104,свечи вытяжной кожуху мм установка
491,Установка свечи вытяжной к кожуху Д мм 108 - 168,шт,установка свечи вытяжной кожуху д мм,104,свечи вытяжной кожуху мм установка
492,Установка свечи вытяжной к кожуху Д мм 219 - 325,шт,установка свечи вытяжной кожуху д мм,104,свечи вытяжной кожуху мм установка
493,Разработка грунта экскаваторами из-под воды с плавучих средств,м3,разработка грунта экскаваторами изпод воды плавучих средств,95,изпод средств экскаваторами плавучих воды
494,Разработка грунта экскаваторами из-под воды с плавучих средств (перемещение бульдозерами),м3,разработка грунта экскаваторами изпод воды плавучих средств перемещение бульдозерами,95,изпод средств экскаваторами плавучих воды
03. Продольное крепление понтона тросами к бульдозерам, установка понтона в створ перехода, поперечное крепление и дополнительная фиксация понтона в створе перехода.,установка понтона створ перехода,219,понтона звеньев створ перехода устройство
495,Разработка грунта под водой водолазами с помощью гидромониторов,м3,разработка грунта водой водолазами помощью гидромониторов,94,водой водолазами грунта разработка подбивка
496,Разработка грунта под водой землесосными снарядами,м3,разработка грунта водой землесосными снарядами,94,водой водолазами грунта разработка подбивка
497,Рыхление скальных грунтов под водой методом БВР,м3,рыхление скальных грунтов водой методом бвр,93,грунтов скальных рыхление водой сваями
498,Рыхление скальных грунтов под водой вручную,м3,рыхление скальных грунтов водой вручную,93,грунтов скальных рыхление водой сваями
499,Подъем из воды разных предметов,т,подъем воды разных предметов,175,воды транспортировка подъем разных предметов
500,Водолазное обследование дна акватории,м2,водолазное обследование дна акватории,254,водоотлив лесовосстановление металлорукава посев обоями
501,Обратная засыпка трубопровода земснярядами,м3,обратная засыпка трубопровода земснярядами,269,обратная засыпка грунта бульдозером экскаватором
502,Устройство грунтовых постелей под водой водолазами,м2,устройство грунтовых постелей водой водолазами,94,водой водолазами грунта разработка подбивка
503,Подбивка грунта под водой водолазами,м3,подбивка грунта водой водолазами,94,водой водолазами грунта разработка подбивка
504,Обратная засыпка подводной траншеи,м3,обратная засыпка подводной траншеи,267,траншеи засыпка обратная трубопровод подводной
505,Монтаж технологической ЗРА Д мм <57,шт,монтаж технологической зра д мм,278,технологической зра монтаж мм эхз
506,Монтаж технологической ЗРА Д мм 57-89,шт,монтаж технологической зра д мм,278,технологической зра монтаж мм эхз
507,Монтаж технологической ЗРА Д мм 108-168,шт,монтаж технологической зра д мм,278,технологической зра монтаж мм эхз
508,Монтаж технологической ЗРА Д мм 219-325,шт,монтаж технологической зра д мм,278,технологической зра монтаж мм эхз
509,Монтаж технологической ЗРА Д мм 377-630,шт,монтаж технологической зра д мм,278,технологической зра монтаж мм эхз
510,Монтаж технологической ЗРА Д мм 720-1020,шт,монтаж технологической зра д мм,278,технологической зра монтаж мм эхз
511,Монтаж технологической ЗРА Д мм 1220-1420,шт,монтаж технологической зра д мм,278,технологической зра монтаж мм эхз
512,Монтаж вставки электроизолирующей на трубопроводе Д мм <57,шт,монтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж
513,Монтаж вставки электроизолирующей на трубопроводе Д мм 57-89,шт,монтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж
514,Монтаж вставки электроизолирующей на трубопроводе Д мм 108-168,шт,монтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж
515,Монтаж вставки электроизолирующей на трубопроводе Д мм 219-325,шт,монтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж
516,Монтаж вставки электроизолирующей на трубопроводе Д мм 377-630,шт,монтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж
517,Монтаж вставки электроизолирующей на трубопроводе Д мм 720-1020,шт,монтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж
518,Монтаж вставки электроизолирующей на трубопроводе Д мм 1220-1420,шт,монтаж вставки электроизолирующей трубопроводе д мм,36,электроизолирующей вставки трубопроводе мм демонтаж
519,Установка контрольно-измерительного пункта (КИП),шт,установка контрольноизмерительного пункта кип,211,контрольноизмерительного пункта кип установка демонтаж
