task_id;task_name;measurement;subtasks
287;Ручная сварка стального трубопровода наружных ИС Д мм 720-1020;м;"Состав работ:
01. Выверка оси и разметка стыка для резки.
02. Резка стыка.
03.Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и сварка с послойной зачисткой зачисткой и шлифовкой."
288;Ручная сварка стального трубопровода наружных ИС Д мм <57;стык;"Состав работ:
01. Выверка оси и разметка стыка для резки.
02. Резка стыка.
03.Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и сварка с послойной зачисткой зачисткой и шлифовкой."
289;Ручная сварка стального трубопровода наружных ИС Д мм 57-89;стык;"Состав работ:
01. Выверка оси и разметка стыка для резки.
02. Резка стыка.
03.Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и сварка с послойной зачисткой зачисткой и шлифовкой."
290;Ручная сварка стального трубопровода наружных ИС Д мм 108-168;стык;"Состав работ:
01. Выверка оси и разметка стыка для резки.
02. Резка стыка.
03.Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и сварка с послойной зачисткой зачисткой и шлифовкой."
291;Ручная сварка стального трубопровода наружных ИС Д мм 219-325;стык;"Состав работ:
01. Выверка оси и разметка стыка для резки.
02. Резка стыка.
03.Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и сварка с послойной зачисткой зачисткой и шлифовкой."
292;Ручная сварка стального трубопровода наружных ИС Д мм 377-630;стык;"Состав работ:
01. Выверка оси и разметка стыка для резки.
02. Резка стыка.
03.Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и сварка с послойной зачисткой зачисткой и шлифовкой."
293;Ручная сварка стального трубопровода наружных ИС Д мм 720-1020;стык;"Состав работ:
01. Выверка оси и разметка стыка для резки.
02. Резка стыка.
03.Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и сварка с послойной зачисткой зачисткой и шлифовкой."
294;Монтаж ЗРА наружных ИС Д мм <57;шт;"Состав работ:
01. Установка задвижек или клапанов с опусканием в канал или подъемом на высоту.
02. Приварка ответных фланцев или патрубков задвижек или клапанов к трубопроводу."
295;Монтаж ЗРА наружных ИС Д мм 57-89;шт;"Состав работ:
01. Установка задвижек или клапанов с опусканием в канал или подъемом на высоту.
02. Приварка ответных фланцев или патрубков задвижек или клапанов к трубопроводу."
296;Монтаж ЗРА наружных ИС Д мм 108-168;шт;"Состав работ:
01. Установка задвижек или клапанов с опусканием в канал или подъемом на высоту.
02. Приварка ответных фланцев или патрубков задвижек или клапанов к трубопроводу."
297;Монтаж ЗРА наружных ИС Д мм 219-325;шт;"Состав работ:
01. Установка задвижек или клапанов с опусканием в канал или подъемом на высоту.
02. Приварка ответных фланцев или патрубков задвижек или клапанов к трубопроводу."
298;Монтаж ЗРА наружных ИС Д мм 377-630;шт;"Состав работ:
01. Установка задвижек или клапанов с опусканием в канал или подъемом на высоту.
02. Приварка ответных фланцев или патрубков задвижек или клапанов к трубопроводу."
299;Монтаж ЗРА наружных ИС Д мм 720-1020;шт;"Состав работ:
01. Установка задвижек или клапанов с опусканием в канал или подъемом на высоту.
02. Приварка ответных фланцев или патрубков задвижек или клапанов к трубопроводу."
300;Монтаж оборудования наружных ИС;шт;"Состав работ:
01. Установка агрегата насосного (оборудование)."
301;Устройство колодцев глубинных железобетонных;шт;"Состав работ:
01. Подготовка основания.
02. Устройство опорной плиты.
03. Установка колодца в проектное положение поэлементно.
04. Заделка швов ЦПС.
05. Монтаж лестницы внутри колодца.
06. Установка люка.
07. Гидроизоляция стыков колец колодца.
08. Бетонирование опорного кольца."
302;Устройство колодцев дренажных железобетонных;шт;"Состав работ:
01. Подготовка основания.
02. Устройство опорной плиты.
03. Установка колодца в проектное положение поэлементно.
04. Заделка швов ЦПС.
05. Установка люка.
06. Гидроизоляция стыков колец колодца.
07. Бетонирование опорного кольца."
303;Устройство колодцев дренажных из полимерных материалов;шт;"Состав работ:
01. Подготовка основания.
02. Устройство опорной плиты.
03. Установка закладных изделий.
04. Установка колодца в проектное положение.
05. Анкеровка колодца.
06. Монтаж дорожных плит/защитных плит (нижней и верхней).
07. Герметизация пространства между нижней и верхней плитами, поверхностей между горловиной колодца и нижней плитой защитной.
08. Установка полимерного люка."
304;Промывка трубопроводов ИС без дезинфекции;м3;"Состав работ:
01. Присоединение и отсоединение водопровода.
02. Наполнение трубопровода водой.
03. Промывка трубопровода до полного осветления воды.
04. Спуск воды из трубопровода."
305;Промывка трубопроводов ИС с дезинфекцией;м3;"Состав работ:
01. Присоединение и отсоединение водопровода.
02. Наполнение трубопровода водой.
03. Промывка трубопровода до полного осветления воды.
04. Спуск воды из трубопровода.
05. Наполнение трубопровода хлорной водой.
06. Спуск хлорной воды из трубопровода.
07. Вторичное наполнение и промывка трубопровода водой после дезинфекции."
306;Испытания трубопроводов ИС;м3;"Состав работ:
01. Наружный осмотр трубопровода.
02. Присоединение водопровода и установки для гидравлического испытания.
03. Установка заглушек и манометра.
04. Наполнение системы водой до заданного давления.
05. Осмотр трубопровода и устранение дефектов.
06. Окончательная проверка и сдача системы.
07. Спуск воды из системы.
08. Снятие заглушек, манометра и отсоединение установки для гидравлического испытания."
307;Сварка ТТ Д <57;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
308;Сварка ТТ Д 57-89;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
309;Сварка ТТ Д 108-168;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
310;Сварка ТТ Д 219-325;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
311;Сварка ТТ Д 377-630;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
312;Сварка ТТ Д 720-1020;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
313;Сварка ТТ Д 1220-1420;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
314;Сварка ТТ Д <57 на эстакадах высотой свыше 25 м;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
315;Сварка ТТ Д 57-89 на эстакадах высотой свыше 25 м;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
316;Сварка ТТ Д 108-168 на эстакадах высотой свыше 25 м;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
317;Сварка ТТ Д 219-325 на эстакадах высотой свыше 25 м;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
318;Сварка ТТ Д 377-630 на эстакадах высотой свыше 25 м;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
319;Сварка ТТ Д 720-1020 на эстакадах высотой свыше 25 м;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
320;Сварка ТТ Д 1220-1420 на эстакадах высотой свыше 25 м;стык;"Состав работ:
01. Резка труб и нарезка кромки (при необходимости).
02. Зачистка кромок труб и прилегающей зоны электрошлифмашинкой.
03. Сборка труб, фасонных частей (деталей), готовых узлов предварительный подогрев.
04. Прихватка стыка, зачистка прихватки.
05. Сварка корневого, заполняющих и облицовочного слоев шва электродами с основным покрытием.
06. Зачистка корневого, заполняющего и облицовочного слоев шва от шлака электрошлифмашинками с последующей шлифовкой облицовочного слоя шва.
НОРМА ПРИМЕНИТЕЛЬНА В ТОМ ЧИСЛЕ ПРИ МОНТАЖЕ ФЛАНЦЕВЫХ СОЕДИНЕНИЙ ТТ"
321;Монтаж ТТ Д <57;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
322;Монтаж ТТ Д 57-89;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
323;Монтаж ТТ Д 108-168;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
324;Монтаж ТТ Д 219-325;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
325;Монтаж ТТ Д 377-630;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
326;Монтаж ТТ Д 720-1020;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
327;Монтаж ТТ Д 1220-1420;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
328;Монтаж ТТ Д <57 на эстакадах высотой свыше 25 м;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
329;Монтаж ТТ Д 57-89 на эстакадах высотой свыше 25 м;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
330;Монтаж ТТ Д 108-168 на эстакадах высотой свыше 25 м;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
331;Монтаж ТТ Д 219-325 на эстакадах высотой свыше 25 м;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
332;Монтаж ТТ Д 377-630 на эстакадах высотой свыше 25 м;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
333;Монтаж ТТ Д 720-1020 на эстакадах высотой свыше 25 м;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
334;Монтаж ТТ Д 1220-1420 на эстакадах высотой свыше 25 м;м;"Состав работ:
01. Перемещение от приобъектного склада до места установки на расстояние до 1 км.
02. Очистка поверхности труб.
03. Подгонка и разметка мест прокладки трубопровода.
04. Монтаж готовых узлов и частей трубопровода с установкой кронштейнов, элементов опор и подвесок."
335;Сборка и сварка труб и узлов на ПМУ Д мм 377-630;стык;"Состав работ:
01. Перемещение труб из штабеля на стенд сборки.
02. Обработка кромок труб специальным кромкострогальным станком.
03. Предварительный подогрев стыков труб установками индукционного подогрева.
04. Сборка стыка на прихватки, зачитстка прихваток, ручная дуговая сварка корневого слоя шва и «горячего прохода» с последующей зачисткой.
05. Сварка заполняющих и облицовочного слоев шва сварочными головками ESAB A6 Arc Master) с последующей зачисткой и шлифовкой.
06. Перемещение двухтрубной секции в накопитель готовой продукции."
336;Сборка и сварка труб и узлов на ПМУ Д мм 720-1020;стык;"Состав работ:
01. Перемещение труб из штабеля на стенд сборки.
02. Обработка кромок труб специальным кромкострогальным станком.
03. Предварительный подогрев стыков труб установками индукционного подогрева.
04. Сборка стыка на прихватки, зачитстка прихваток, ручная дуговая сварка корневого слоя шва и «горячего прохода» с последующей зачисткой.
05. Сварка заполняющих и облицовочного слоев шва сварочными головками ESAB A6 Arc Master) с последующей зачисткой и шлифовкой.
06. Перемещение двухтрубной секции в накопитель готовой продукции."
337;Сборка и сварка труб и узлов на ПМУ Д мм 1220-1420;стык;"Состав работ:
01. Перемещение труб из штабеля на стенд сборки.
02. Обработка кромок труб специальным кромкострогальным станком.
03. Предварительный подогрев стыков труб установками индукционного подогрева.
04. Сборка стыка и ручная дуговая сварка корневого слоя и подварочного слоя шва с последующей зачисткой.
05. Сварка «горячего прохода», заполняющих и облицовочного слоев шва сварочными головками ESAB A6 Arc Master) с последующей зачисткой и шлифовкой.
06. Перемещение двухтрубной секции в накопитель готовой продукции."
338;Сварка технологических трубопроводов диаметром до 12 мм;дм2;"Состав работ:
01. Погрузочно-разгрузочные работы и перевозка материалов на расстояние до 1 км.
02. Предварительный подогрев стыкуемых деталей
03. Снятие фаски, прихватка.
04. Сварка и зачистка от шлака корневого слоя шва.
05. Сварка облицовочного слоя шва с послойной зачисткой от шлака электрошлифмашинкой."
339;Сварка технологических трубопроводов диаметром свыше 12 мм;дм2;"Состав работ:
01. Погрузочно-разгрузочные работы и перевозка материалов на расстояние до 1 км.
02. Предварительный подогрев стыкуемых деталей
03. Снятие фаски, прихватка.
04. Сварка и зачистка от шлака корневого слоя шва.
05. Сварка облицовочного слоя шва с послойной зачисткой от шлака электрошлифмашинкой."
340;Сборка и сварка на ТСБ двухтрубных секций Д мм 377-630;км;"Состав работ:
01. Перемещение труб из штабеля на приемный стеллаж БТ-820.
02. Подготовка труб к сборке и сварке на накопителе (очистка внутренней полости труб, очистка прилегающей зоны кромок труб, срезка наружного усиления продольных заводских швов).
03. Обработка кромок труб на первой линии БТ-820 на станках подготовки кромок.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и двусторонняя автоматическая сварка труб в секции на полевой трубосварочной базе типа БТС.
06. Перемещение секций труб на склад готовой продукции на базе."
341;Сборка и сварка на ТСБ двухтрубных секций Д мм 720-1020;км;"Состав работ:
01. Перемещение труб из штабеля на приемный стеллаж БТС-142В.
02. Подготовка труб к сборке и сварке на накопителе (очистка внутренней полости труб, очистка прилегающей зоны кромок труб, срезка наружного усиления продольных заводских швов).
03. Обработка кромок труб на первой линии БТС-142В на станках подготовки кромок.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и двусторонняя автоматическая сварка труб в секции на полевой трубосварочной базе типа БТС.
06. Перемещение секций труб на склад готовой продукции на базе."
342;Сборка и сварка на ТСБ двухтрубных секций Д мм 1220-1420;км;"Состав работ:
01. Перемещение труб из штабеля на приемный стеллаж БТС-142В.
02. Подготовка труб к сборке и сварке на накопителе (очистка внутренней полости труб, очистка прилегающей зоны кромок труб, срезка наружного усиления продольных заводских швов).
03. Обработка кромок труб на первой линии БТС-142В на станках подготовки кромок.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и двусторонняя автоматическая сварка труб в секции на полевой трубосварочной базе типа БТС.
06. Перемещение секций труб на склад готовой продукции на базе."
343;Сборка и сварка на ТСБ двухтрубных секций Д мм 377-630;стык;"Состав работ:
01. Перемещение труб из штабеля на приемный стеллаж БТ-820.
02. Подготовка труб к сборке и сварке на накопителе (очистка внутренней полости труб, очистка прилегающей зоны кромок труб, срезка наружного усиления продольных заводских швов).
03. Обработка кромок труб на первой линии БТ-820 на станках подготовки кромок.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и двусторонняя автоматическая сварка труб в секции на полевой трубосварочной базе типа БТС.
06. Перемещение секций труб на склад готовой продукции на базе."
344;Сборка и сварка на ТСБ двухтрубных секций Д мм 720-1020;стык;"Состав работ:
01. Перемещение труб из штабеля на приемный стеллаж БТС-142В.
02. Подготовка труб к сборке и сварке на накопителе (очистка внутренней полости труб, очистка прилегающей зоны кромок труб, срезка наружного усиления продольных заводских швов).
03. Обработка кромок труб на первой линии БТС-142В на станках подготовки кромок.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и двусторонняя автоматическая сварка труб в секции на полевой трубосварочной базе типа БТС.
06. Перемещение секций труб на склад готовой продукции на базе."
345;Сборка и сварка на ТСБ двухтрубных секций Д мм 1220-1420;стык;"Состав работ:
01. Перемещение труб из штабеля на приемный стеллаж БТС-142В.
02. Подготовка труб к сборке и сварке на накопителе (очистка внутренней полости труб, очистка прилегающей зоны кромок труб, срезка наружного усиления продольных заводских швов).
03. Обработка кромок труб на первой линии БТС-142В на станках подготовки кромок.
04. Предварительный подогрев стыков труб установками индукционного подогрева.
05. Сборка и двусторонняя автоматическая сварка труб в секции на полевой трубосварочной базе типа БТС.
06. Перемещение секций труб на склад готовой продукции на базе."
